trial,step,reward, epsilon 
   1367,   34,  31308,  0.14718015433849208
   1368,   35,  33459,  0.14691546173812184
   1369,   39,  40594,  0.1466219171184393
   1370,   34,  31008,  0.1463655467436768
   1371,   51,  62980,  0.14598548111984352
   1372,   37,  37770,  0.1457083651213246
   1373,   36,  35913,  0.14543904710881894
   1374,   34,  31908,  0.14518474499802145
   1375,   36,  35613,  0.14491639481142482
   1376,   34,  31908,  0.14466300656512984
   1377,   35,  34359,  0.14440284086848942
   1378,   34,  32508,  0.14415035057810308
   1379,   40,  43362,  0.14385513767564745
   1380,   35,  33459,  0.14359642487133534
   1381,   38,  39930,  0.14331667769124615
   1382,   34,  33108,  0.14306608657164052
   1383,   37,  37770,  0.1427945122950044
   1384,   35,  34659,  0.14253770694683868
   1385,   35,  33159,  0.1422813634440604
   1386,   36,  36213,  0.14201837968202705
   1387,   37,  37470,  0.14174879420824057
   1388,   37,  37770,  0.14147972047334204
   1389,   36,  35913,  0.14121821841684715
   1390,   38,  38730,  0.14094310433643228
   1391,   35,  33759,  0.14068962860827633
   1392,   41,  44634,  0.14039448302083338
   1393,   37,  37770,  0.14012798009841645
   1394,   35,  34659,  0.13987597031079535
   1395,   36,  36213,  0.1396174325234142
   1396,   37,  37770,  0.13935240463209522
   1397,   37,  36870,  0.13908787982826254
   1398,   60,  82543,  0.1386642974965686
   1399,   29,  22998,  0.1384564517773989
   1400,   37,  38670,  0.13819362771029747
   1401,   58,  81625,  0.13778654707062044
   1402,   35,  34659,  0.1375387481767812
   1403,   37,  37770,  0.1372776661346241
   1404,   34,  31908,  0.1370376343071515
   1405,   35,  33759,  0.1367911822774171
   1406,   37,  37470,  0.13653151929740964
   1407,   36,  35913,  0.1362791631791392
   1408,   33,  30660,  0.13604767963136372
   1409,   37,  38070,  0.1357894280004616
   1410,   37,  37470,  0.1355316665940532
   1411,   35,  33159,  0.13528792293564673
   1412,   35,  33759,  0.13504461763214656
   1413,   37,  37770,  0.13478827005721872
   1414,   29,  23298,  0.13458623416599458
   1415,   37,  37770,  0.13433075671452663
   1416,   36,  35013,  0.13408246834490137
   1417,   60,  85543,  0.13367412964097572
   1418,   36,  35913,  0.13342705493878992
   1419,   32,  27615,  0.13320707633089038
   1420,   34,  32508,  0.13297416198390086
   1421,   56,  74730,  0.13259571570312823
   1422,   37,  36870,  0.13234401674050164
   1423,   40,  43662,  0.13207298263515338
   1424,   37,  38670,  0.13182227594720344
   1425,   35,  35259,  0.1315852033529802
   1426,   25,  17781,  0.13141424945884608
   1427,   59,  79081,  0.1310205876567992
   1428,   35,  34059,  0.13078495683955482
   1429,   50,  61665,  0.13045187173641853
   1430,   34,  31308,  0.13022377490135578
   1431,   61,  86011,  0.12982069621687836
   1432,   35,  32859,  0.1295872233154674
   1433,   21,  11397,  0.12944475218150228
   1434,   38,  39630,  0.12919257456334388
   1435,   37,  37770,  0.12894733559144933
   1436,   23,  13835,  0.12879268772978605
   1437,   37,  37470,  0.12854820784049573
   1438,   35,  33459,  0.12831702341512818
   1439,   36,  35913,  0.1280798504450793
   1440,   34,  32508,  0.1278559011208346
   1441,   36,  35913,  0.1276195804597091
   1442,   30,  25434,  0.12742191839607767
   1443,   36,  36213,  0.12718639988083313
   1444,   39,  40894,  0.1269322749375487
   1445,   33,  30660,  0.12671666799776188
   1446,   38,  39930,  0.12646980509310088
   1447,   34,  31308,  0.12624867095459633
   1448,   38,  39030,  0.1260027197777393
   1449,   36,  35613,  0.1257698244183507
   1450,   37,  37770,  0.12553108265985596
   1451,   37,  37770,  0.1252927940913654
   1452,   37,  37170,  0.12505495785261395
   1453,   37,  37470,  0.12481757308496964
   1454,   34,  32208,  0.12459932789613537
   1455,   35,  33759,  0.12437524523870479
   1456,   37,  37170,  0.12413915073114846
   1457,   35,  35259,  0.1239158956682463
   1458,   36,  37113,  0.1236868574609242
   1459,   39,  41494,  0.12343972478269173
   1460,   36,  36813,  0.12321156669914567
   1461,   59,  82981,  0.12284247668356868
   1462,   35,  34059,  0.12262155359284736
